cluster,lv,opt,planning_horizon,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,2035,959569686979.1182,826524845940.6953,712974411875.9572,615911267947.2754,532814985059.1929,461569426246.75586,400394903717.3253,347792213615.04614,302496384156.8825,263438382366.68854
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,2040,932239174686.875,764011460646.4324,627370240164.5815,516158228126.8015,425461790064.55585,351351140461.689,290676581255.7497,240908317906.60593,200010243800.90607,166340265429.2653
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,2045,891378933508.8413,695069163099.6486,543322977312.2129,425727542966.34076,334371215134.3853,263226669698.15582,207690070767.58273,164235835359.6549,130157284354.46819,103371285578.02013
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c2,2050,829763007756.1888,615620191786.2916,458088001334.6045,341851372731.6441,255831425285.00705,191988447723.63776,144470145905.23172,109003574250.4519,82459634359.31003,62540180611.6062
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,2020,723464431632.9137,723464431632.9137,723464431632.9137,723464431632.9137,723464431632.9137,723464431632.9137,723464431632.9137,723464431632.9137,723464431632.9137,723464431632.9137
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,2025,686204302752.2412,652899848756.8707,621516378840.5602,591925859436.2936,564009917206.9679,537659026749.62524,512771773487.4664,489254184164.5749,467019118185.4376,445985713771.65356
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,2030,658000009799.5573,595678825059.3943,539789189356.9022,489613803293.83594,444521229707.6053,403954926845.8976,367423768682.1691,334493839206.2421,304781319698.8133,277946315076.8021
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,2035,632110669527.6116,544468193231.0232,469667538441.9202,405727785313.23566,350988616575.00446,304056039928.51184,263757696912.022,229105996143.74966,199267645189.01447,173538425105.2339
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,2040,617572221041.5042,506127898788.48663,415608400884.805,341934765249.6845,281851900019.8815,232756475025.0628,192561937714.27866,159592397527.09143,132499012966.99643,110193960905.24643
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,2045,602540030204.9482,469841701194.3398,367266749138.9576,287776474128.9716,226022889360.48703,177931740978.37436,140391001861.52863,111017504989.48698,87981632836.69012,69875263137.89285
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb73.9ex0-gasconstrained-costofcoal+c2,2050,712702736034.2994,528770493433.4339,393462433060.871,293624090716.8914,219739558235.10745,164903340713.66553,124088766671.29912,93625703821.01437,70826496808.03374,53717214936.469955
37m,1.0,3H-T-H-B-I-solar+p3-dist1-cb25.7ex0-gasconstrained-costofcoal+c4,2020,737943185201.0553,737943185201.0553,737943185201.0553,737943185201.0553,737943185201.0553,737943185201.0553,737943185201.0553,737943185201.0553,737943185201.0553,737943185201.0553
